序号,问题,分类,原因范围,范围图例,处理步骤,,,,,
,,,光电转换器检查,光电转换器.jpg,检查接入信号安全数据网的光电转换器及光缆是否故障，检查联锁机柜、综合柜的8个光电转换器电源灯应正常显示，光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
,,,联锁机主机笼检查,联锁机主机笼.jpg,"检查联锁机是否为双机运行,确认工作灯应显示绿灯。如不正常，重启或更换故障板卡。",,,,,
,,,,,"检查联锁机通信板是否故障,确认通信板工作灯应显示绿灯。如不正常，重启或更换故障板卡。",,,,,
18,与RBC通信中断,外部通信接口,RBC检查,RBC设备.jpg,排查同一RBC管辖内的其他车站联锁，检查联锁与RBC通信状态。如同样出现与RBC通信中断的情况，为RBC侧故障，建议重启或更换RBC故障板卡。,,,,,
,,,联锁机至安全数据网线缆检查,联锁机至安全数据网线缆.jpg,检查联锁机侧4根网线是否同时存在松动、接触不良的情况，检查联锁机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,RBC至安全数据网线缆检查,RBC至安全数据网线缆.jpg,RBC中心检查RBC侧4根网线是否同时存在松动、接触不良的情况，检查RBC通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,安全数据网交换机检查,安全数据网交换机.jpg,检查安全数据网交换机是否故障，交换机电源灯应正常显示，交换机收发灯应为绿闪状态。如不正常，重启或更换故障交换机。,,,,,
,,,光电转换器检查,光电转换器.jpg,检查接入信号安全数据网的光电转换器及光缆是否故障，检查联锁机柜、综合柜的8个光电转换器电源灯应正常显示，光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
19,与RBC通信局部故障,外部通信接口,RBC检查,RBC设备.jpg,通过网络图或故障信息确认故障通道，如果单系RBC与联锁双系均通信中断，首先排除RBC工作是否正常；若RBC与联锁单系通信中断，检查连接线缆故障。,,,,,
,,,,,"RBC中心检查RBC是否为双机运行,查看RBC的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,联锁机至安全数据网线缆检查,联锁机至安全数据网线缆.jpg,"检查对应通道的联锁机侧网线是否存在松动、接触不良的情况，检查联锁机通信板对应通道的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。
如联锁1系1网与RBC-I网通信中断，检查联锁1系通信板1口①至安全数据网交换机⑤之间的通信线
如联锁1系2网与RBC-II网通信中断，检查联锁1系通信板2口②至安全数据网交换机⑥之间的通信线
如联锁2系1网与RBC-I网通信中断，检查联锁2系通信板1口③至安全数据网交换机⑦之间的通信线；
如联锁2系2网与RBC-II网通信中断，检查联锁2系通信板2口④至安全数据网交换机⑧之间的通信线
如不正常，更换故障线缆。",,,,,
,,,RBC至安全数据网线缆检查,RBC至安全数据网线缆.jpg,"RBC中心检查对应通道的RBC侧网线是否存在松动、接触不良的情况，检查RBC通信板对应通道的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。
如RBC-1系1网与联锁-I网通信中断，检查RBC-1系通信板1口①至安全数据网交换机⑤之间的通信线
如RBC-1系2网与联锁-II网通信中断，检查RBC-1系通信板2口②至安全数据网交换机⑥之间的通信线
如RBC-2系1网与联锁-I网通信中断，检查RBC-2系通信板1口③至安全数据网交换机⑦之间的通信线；
如RBC-2系2网与联锁-II网通信中断，检查RBC-2系通信板2口④至安全数据网交换机⑧之间的通信线",,,,,
,,,安全数据网交换机检查,安全数据网交换机.jpg,检查安全数据网交换机是否故障，交换机电源灯应正常显示，交换机收发灯应为绿闪状态。如不正常，重启或更换故障交换机。,,,,,
,,,光电转换器检查,光电转换器.jpg,检查接入信号安全数据网的光电转换器及光缆是否故障，检查联锁机柜、综合柜的8个光电转换器电源灯应正常显示，光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
,,,联锁机主机笼检查,联锁机主机笼.jpg,"检查联锁机是否为双机运行,确认工作灯应显示绿灯。如不正常，重启或更换故障板卡。",,,,,
,,,,,"检查联锁机通信板是否故障,确认通信板工作灯应显示绿灯。如不正常，重启或更换故障板卡。",,,,,
20,与CTC通信中断,外部通信接口,CTC自律机检查,CTC自律机.jpg,"检查CTC自律机是否为双机运行,查看CTC自律机的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,操作机至CTC自律机线缆检查,操作机至CTC自律机线缆.jpg,检查两台操作机侧的4根串口线是否存在松动、接触不良的情况，串口防雷是否故障。尝试插拔线缆或更换线缆恢复。如仍不能恢复，更换通信板。,,,,,
,,,,,检查两台CTC自律机侧4根串口线是否同时存在松动、接触不良的情况，检查CTC自律机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。如仍不能恢复，更换通信板。,,,,,
,,,光电转换器检查,光电转换器.jpg,检查串口通道中的光电转换器及光缆是否故障，检查光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
21,与CTC通信局部故障,外部通信接口,CTC自律机检查,CTC自律机.jpg,通过网络图或故障信息确认故障通道，如果单系CTC与联锁双系均通信中断，首先排除CTC工作是否正常；若CTC与联锁单系通信中断，检查连接线缆故障。,,,,,
,,,,,"检查CTC自律机是否为双机运行,查看CTC自律机的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,操作机至CTC自律机线缆检查,操作机至CTC自律机线缆.jpg,"检查对应通道的串口线是否存在松动、接触不良的情况，串口防雷是否故障。尝试插拔线缆或更换线缆恢复。如仍不能恢复，更换通信板。
如操作A机与CTC自律机A机通信中断，检查操作A机通信板1口①至CTC自律机A机1口⑤之间的通信线
如操作A机与CTC自律机B机通信中断，检查操作A机通信板2口②至CTC自律机B机1口⑥之间的通信线
如操作B机与CTC自律机A机通信中断，检查操作B机通信板1口③至CTC自律机A机2口⑦之间的通信线
如操作B机与CTC自律机B机通信中断，检查操作B机通信板2口④至CTC自律机B机2口⑧之间的通信线
如不正常，更换故障线缆。
",,,,,
,,,光电转换器检查,光电转换器.jpg,检查串口通道中的光电转换器及光缆是否故障，检查光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
22,与编组站综合自动化通信中断,外部通信接口,编组站综合自动化检查,编组站综合自动化.jpg,"检查编组站综合自动化是否为双机运行,查看编组站综合自动化的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,操作机至编组站综合自动化线缆检查,操作机至编组站综合自动化线缆.jpg,检查两台操作机侧的4根串口线是否存在松动、接触不良的情况，串口防雷是否故障。尝试插拔线缆或更换线缆恢复。如仍不能恢复，更换通信板。,,,,,
,,,,,检查两台编组站综合自动化侧4根串口线是否同时存在松动、接触不良的情况，检查编组站综合自动化通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。如仍不能恢复，更换通信板。,,,,,
,,,光电转换器检查,光电转换器.jpg,检查串口通道中的光电转换器及光缆是否故障，检查光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
23,与编组站综合自动化通信局部故障,外部通信接口,编组站综合自动化检查,编组站综合自动化.jpg,通过网络图或故障信息确认故障通道，如果单系编组站综合自动化与联锁双系均通信中断，首先排除编组站综合自动化工作是否正常；若编组站综合自动化与联锁单系通信中断，检查连接线缆故障。,,,,,
,,,,,"检查编组站综合自动化是否为双机运行,查看编组站综合自动化的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,操作机至编组站综合自动化线缆检查,操作机至编组站综合自动化线缆.jpg,"检查对应通道的串口线是否存在松动、接触不良的情况，串口防雷是否故障。尝试插拔线缆或更换线缆恢复。如仍不能恢复，更换通信板。
如操作A机与编组站综合自动化A机通信中断，检查操作A机通信板1口①至编组站综合自动化A机1口⑤之间的通信线
如操作A机与编组站综合自动化B机通信中断，检查操作A机通信板2口②至编组站综合自动化B机1口⑥之间的通信线
如操作B机与编组站综合自动化A机通信中断，检查操作B机通信板1口③至编组站综合自动化A机2口⑦之间的通信线
如操作B机与编组站综合自动化B机通信中断，检查操作B机通信板2口④至编组站综合自动化B机2口⑧之间的通信线
如不正常，更换故障线缆。
",,,,,
,,,光电转换器检查,光电转换器.jpg,检查串口通道中的光电转换器及光缆是否故障，检查光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
24,操作机与联锁机通信中断,内部通信接口,联锁机主机笼检查,联锁机.jpg,"检查联锁机是否为双机运行,查看联锁机的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,联锁机至内网交换机/光分路器线缆检查,联锁机至交换机/光分路器线缆.jpg,检查联锁机侧4根网线是否同时存在松动、接触不良的情况，检查联锁机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,操作机至内网交换机/光分路器线缆检查,操作机至交换机/光分路器线缆.jpg,检查操作机侧4根网线是否同时存在松动、接触不良的情况，检查操作机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,操作机至联锁机线缆检查,操作机至联锁机线缆.jpg,检查两台操作机侧的4根串口线是否存在松动、接触不良的情况。尝试插拔线缆或更换线缆恢复。如仍不能恢复，更换通信板。,,,,,
,,,,,检查联锁机双系侧2根串口线是否同时存在松动、接触不良的情况，检查联锁机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。如仍不能恢复，更换通信板。,,,,,
,,,内网交换机检查,交换机.jpg,检查交换机是否故障，交换机电源灯应正常显示，交换机收发灯应为绿闪状态。如不正常，重启或更换故障交换机。,,,,,
,,,光电转换器检查,光电转换器.jpg,检查光电转换器及光缆是否故障，检查联锁机柜的4个光电转换器电源灯应正常显示，光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
,,,光分路器检查,光分路器.jpg,检查光分路器是否故障，检查联锁机柜的4个光分路器电源灯应正常显示，光分路器光缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光分路器。,,,,,
25,内部通信局部故障,内部通信接口,,,"该信息位内部通信的总报警，F71在报警信息中查看具体的故障通道（联锁机与操作机、联锁机与IO机笼、联锁机与维修机、联锁机I系与II系、操作机A与B、操作机与维修机等），处理具体的故障通道后该报警自动消除。
",,,,,
26,联锁机与IO机笼通信中断/FFC未连接,内部通信接口,联锁机主机笼检查,联锁机.jpg,"检查联锁机是否为双机运行,查看联锁机的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,IO机笼检查,IO机笼.jpg,"检查IO机笼是否为双机运行,查看IO机笼的CPU板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,联锁机至IO机笼线缆检查,联锁机至IO机笼线缆.jpg,检查联锁机主机笼侧的通信线是否存在松动、接触不良的情况，检查联锁机主机笼通信板的通信灯收发显示为绿闪状态。尝试插拔线缆或更换线缆恢复。如仍不能恢复，更换通信板。,,,,,
,,,,,检查IO机笼侧的通信线是否同时存在松动、接触不良的情况，检查IO机笼通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。如仍不能恢复，更换通信板。,,,,,
27,维修机与联锁机通信中断,内部通信接口,维修机检查,维修机.jpg,检查维修机是否死机，重启或更换故障板卡。,,,,,
,,,维修机至内网交换机/光分路器线缆检查,维修机至交换机/光分路器线缆.jpg,检查维修机侧2根网线/光纤是否存在松动、接触不良的情况，检查维修机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,联锁机至内网交换机/光分路器线缆检查,联锁机至交换机/光分路器线缆.jpg,检查联锁机侧4根网线是否同时存在松动、接触不良的情况，检查联锁机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,联锁机主机笼检查,联锁机.jpg,"检查联锁机是否为双机运行,查看联锁机的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,内网交换机检查,交换机.jpg,检查交换机是否故障，交换机电源灯应正常显示，交换机收发灯应为绿闪状态。如不正常，重启或更换故障交换机。,,,,,
,,,光电转换器检查,光电转换器.jpg,检查光电转换器及光缆是否故障，检查联锁机柜的4个光电转换器电源灯应正常显示，光电转换器光缆口、电缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光电转换器。,,,,,
,,,光分路器检查,光分路器.jpg,检查光分路器是否故障，检查联锁机柜的4个光分路器电源灯应正常显示，光分路器光缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光分路器。,,,,,
28,维修机与操作机通信中断,内部通信接口,维修机检查,维修机.jpg,检查维修机是否死机，重启或更换故障板卡。,,,,,
,,,维修机至内网交换机/光分路器线缆检查,维修机至交换机/集线器/光分路器线缆.jpg,检查维修机侧2根网线/光纤是否存在松动、接触不良的情况，检查维修机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,操作机至内网交换机/光分路器线缆检查,操作机至交换机/集线器/光分路器线缆.jpg,检查操作机侧4根网线是否同时存在松动、接触不良的情况，检查操作机通信板的通信灯收发显示为绿闪状态。如不正常，插拔线缆或更换。,,,,,
,,,操作机检查,操作机.jpg,"检查操作机是否为双机运行,查看操作机的CPU板运行灯正常、通信板运行灯正常。如不正常，重启或更换故障板卡。",,,,,
,,,内网交换机检查,交换机.jpg,检查交换机/集线器是否故障，交换机电源灯应正常显示，交换机/集线器收发灯应为绿闪状态。如不正常，重启或更换故障交换机。,,,,,
,,,光分路器检查,光分路器.jpg,检查光分路器是否故障，检查联锁机柜的4个光分路器电源灯应正常显示，光分路器光缆口的收发灯应为绿闪状态。如不正常，重启或更换故障光分路器。,,,,,
29,联锁设备局部故障,联锁设备,,,该条信息为联锁设备局部故障的总报警，在报警信息中查看具体的故障设备（联锁机机笼、驱采机机笼、操作机、IO电源等），处理具体的故障设备后该报警自动消除。,,,,,
30,联锁I/II系故障,联锁设备,联锁机主机笼检查,联锁机主机笼.jpg,检查主机笼电源板，确认电源板工作灯正常显示，确认输出正常。如不正常，重启或更换电源板。,,,,,
,,,,,检查联锁机I/II系是否正常运行，查看CPU板运行灯应为绿灯，故障灯是否亮红灯。如CPU板不正常，重启联锁机CPU板或主机笼。,,,,,
,,,,,如重启后不能恢复，CPU板报警，更换故障CPU板。,,,,,
,,,,,"检查联锁机通信板是否故障,确认通信板工作灯应显示绿灯。如不正常，重启或更换故障板卡，以及重新插拔、更换系间通信线。",,,,,
,,,IO机笼检查,驱采机笼.jpg,"检查驱采机CPU板是否为双机运行,确认工作灯应显示绿灯。如不正常，重启或更换故障板卡，以及重新插拔、更换系间通信线。",,,,,
,,,,,"检查驱采机中的采集板、驱动板是否运行正常,确认工作灯应显示绿灯，故障灯不显示红灯。如不正常，重启或更换故障板卡。",,,,,
,,,IO电源检查,IO机笼.jpg,确认I/II系24V电源模块是否正常输出24V，通过电源模块的电压表确认输出为24V左右。如不正常，调整24V电源模块输出电压或更换24V电源模块。,,,,,
31,采集板故障,联锁设备,采集板通信异常检查,IO机笼.jpg,重启故障的板卡或机笼,,,,,
,,,采集板检查,采集板.jpg,关闭故障板卡所在机笼的电源，更换故障的采集板后启动,,,,,
32,驱动板故障,联锁设备,驱动板通信异常检查,IO机笼.jpg,重启故障的板卡或机笼,,,,,
,,,驱动板检查,驱动板.jpg,关闭故障板卡所在机笼的电源，更换故障的驱动板后启动,,,,,
,,,,,检查该驱动板对应的驱动回路是否存在短路，检查驱动回路，排除短路故障。,,,,,
33,联锁电源故障/IO电源*,联锁设备,电源模块检查,IO电源.jpg,查看电源模块上的指示灯是否正常，如模块面板不正常，关闭故障电源模块空开，更换电源模块。,,,,,
,,,,,"电压表数值是否为24V左右。
如电压不满足，可调节电源模块上对应的电压调节旋钮，将电压调节至规定范围（24V）",,,,,
,,,采集通道检查,IO电源采集通道.jpg,"如模块面板正常，为监督电路故障。检查采集回路是否断线。需通过使用万用表测量采集回路/驱动回路电压进行确认，具体步骤如下：
采用万用表测量时，表笔负电端为采集地线/驱动回线①，正电端为TB1线排②，确认以上回路电压值为24V
如果有24V电压，说明故障点在②至继电器接点这一部分，需排查继电器是否正常
如果没有24V电压，继续进行下一步测量",,,,,
,,,,,"表笔负电端为采集地线/驱动回线①，正电端为接口架对应端子③，确认以上回路电压值为24V
如果有24V电压，说明故障点在②与③之间，需更换②与③之间线缆
如果没有24V电压，继续进行下一步测量",,,,,
,,,,,"表笔负电端为采集地线/驱动回线①，正电端为接口架对应端子④，确认以上回路电压值为24V
如果有24V电压，说明故障点③在④与之间，需更换③与④之间线缆
如果没有24V电压，继续进行下一步测量",,,,,
,,,,,"测量接口架至机柜的电缆，导通对应的线缆⑤至⑥无断线状态
如果有断线，说明故障点为⑤至⑥的接口电缆断线，需更换⑤至⑥之间线缆
如果没有断线，说明故障点在采集板内部，转到采集板故障的相关处理流程上",,,,,
34,驱采机/IO机笼故障,联锁设备,IO机笼电源模块检查,IO机笼电源模块.jpg,测试驱采电源模块电压，如果低于23V更换电源模块,,,,,
,,,IO机笼CPU板检查,驱采机CPU板.jpg,关闭故障板卡所在机笼的电源，更换故障的CPU后启动；重启后确认系统恢复正常。,,,,,
,,,IO机笼连接线缆检查,IO机笼连接线缆.jpg,检查驱采机与联锁机之间的连接光缆/通信线，重新插拔后重启,,,,,
,,,,,检查双系驱采机之间的连接通信线，重新插拔后重启,,,,,
,,,IOBE/IOBUS检查,,"检查IOBE/IOBUS板是否故障
如果故障，更换IOBE/IOBUS板
如果没有故障，进行下一步排查。",,,,,
,,,IOBUS电缆检查,,"检查IOBUS电缆是否故障
如果故障，更换IOBUS电缆
如果没有故障，进行下一步排查。",,,,,
,,,IO机笼母板检查,,"检查IO机笼母板是否故障
如果故障，更换IO机笼母板
如果没有故障，进行下一步排查。",,,,,
35,联锁机以太网板故障,联锁设备,通信异常检查,联锁机主机笼.jpg,重启故障的联锁机,,,,,
,,,联锁机以太网板检查,联锁机以太网板.jpg,关闭故障联锁机的电源，更换故障的以太网板后启动,,,,,
36,FCX1故障停止工作/联锁I系停止工作/双系不同步,联锁设备,联锁机CPU板检查,CPU板故障.jpg,在可允许的情况下，先重启对应的联锁机,,,,,
,,,,,根据CPU板故障显示，更换联锁机CPU板,,,,,
,,,联锁机系间通信线检查,通信线.jpg,检查联锁系间通信线接触是否良好，若接触正常，则考虑先更换联锁机系间通信线(电缆和以太网线),,,,,
,,,联锁机通信板检查,通信板故障.jpg,根据通信板故障显示，更换故障系通信板,,,,,
,,,联锁机主机笼检查,机笼.jpg,更换联锁机机笼,,,,,
37,联锁系统全部断电,其他,电源屏检查,电源屏.jpg,检查电源屏联锁电源供电是否正常；通过万用表在联锁机柜一侧供电端进行测量，若不是交流220V，则可判断为电源屏供电异常。,,,,,
,,,UPS检查,UPS.jpg,检查UPS供电是否正常，先查看UPS报警灯是否有红灯，若为红灯，则可判断为UPS故障。若工作灯正常点亮绿灯，则需进行空开及连接线确认。,,,,,
,,,空开跳闸检查,空开.jpg,检查机柜侧220V输入空开是否跳闸；若空开跳闸，则先合上空开，判断电源供电是否恢复正常，若不正常，则需进行连接线判断。,,,,,
,,,连接线缆检查,连接线.jpg,电源屏至联锁配电端所有连接线断线,,,,,
38,联锁系统部分断电,其他,UPS检查,UPS.jpg,检查UPS供电是否正常，先查看UPS报警灯是否有红灯，若为红灯，则可判断为UPS故障。若工作灯正常点亮绿灯，则需进行空开及连接线确认。,,,,,
,,,空开跳闸检查,空开.jpg,检查机柜侧220V输入空开是否跳闸；若空开跳闸，则先合上空开，判断电源供电是否恢复正常，若不正常，则需进行连接线判断。,,,,,
,,,电源屏检查,电源屏.jpg,检查联锁机电源1路或2路供电是否正常；通过万用表在联锁机柜一侧供电端进行测量，若不是交流220V，则可判断为电源屏供电异常。,,,,,
,,,连接线缆检查,连接线.jpg,检查电源屏至联锁配电端对应连接线是否断线；若断线，需更换连接线。,,,,,
39,控制台操作机A/B显示器黑屏,其他,显示器无电源输入检查,显示器电源及电源线.jpg,"检查显示器电源输入空开是否跳闸；
如果空开跳闸，需合上空开。
如果空开没有跳闸，需排查下一步",,,,,
,,,,,"检查显示器电源输入是否为220V；
如果输入电源不满足交流220V的要求，需要调节电源屏输入电压。
如果输入电源满足交流220V要求，需排查下一步。",,,,,
,,,,,"检查显示器电源输入线是否断线或接触不良；
通过万用表测量，如果输入电源为0,需要排查电源输入线是否接触不良或断线，重新插拔输入线或更换新的的输入线。",,,,,
,,,显示器检查,显示器.jpg,"检查显示屏电源开关是否正常开启
如果未正常开启，需重新开启电源开",,,,,
,,,,,如果已正常开启，显示器故障，更换对应显示器,,,,,
,,,视频线检查,显示器视频线.jpg,"检查显示器无视频输入信号
重新插拔或更换视频线后，显示是否正常，如果正常说明接触不良或视频线缆故障。
如果仍未排查故障，需排查下一步",,,,,
,,,操作机显卡检查,操作机显卡.jpg,更换视频线后，若无法恢复，拔插或更换操作机视频卡,,,,,
,,,视频分配器检查,视频分配器.jpg,检查视频分配器（特殊站配置，如有值班员台时）是否故障，若无法正常显示，则可判断为故障，可直接将视频电缆与相应操作机视频线缆对接，越过视频分配器临时恢复，或更换视频分配器,,,,,
,,,操作机电源检查,工控机电源.jpg,检查操作机电源灯①是否亮绿灯，如电源灯未亮，检查操作机电源供电是否正常，通过万用表进行操作机电源测量，为AC220V则可判断电源供电正常。,,,,,
,,,,,如电源灯点亮绿灯，工控机前后风扇不转，为电源坏，更换工控机电源,,,,,
,,,工控机主板检查,主板.jpg,主板④无“滴”的一声鸣响，或连续有“滴、滴...”的鸣响，判断主板或其内存损坏，更换主板或内存,,,,,
,,,操作机电子盘/硬盘检查,硬盘.jpg,开机后有“滴”的一声鸣响，系统硬盘故障，切换或更换系统盘,,,,,
,,,,,操作系统损坏，切换或更换系统盘,,,,,
40,值班员台/后台黑屏,其他,显示器无电源输入检查,显示器.jpg,确认信号员台是否正常显示，如不正常显示，按信号员台问题处理,,,,,
,,,,,检查显示器电源输入空开是否跳闸；若空开跳闸，则先合上空开，判断电源恢复正常。,,,,,
,,,,,确认显示器电源输入为220V；通过万用表对电源输入电压进行测量确认。,,,,,
,,,,,检查显示器电源输入线是否断线或接触不良；若断线或接触不良，则需更换电源输入线。,,,,,
,,,显示器检查,显示器.jpg,检查显示屏电源开关是否正常开启；若电源开关未正常开启，则先打开电源开关。,,,,,
,,,,,显示器故障，更换对应显示器,,,,,
,,,视频线检查,后台视频线.jpg,检查显示器无视频输入信号，插拔或更换视频线控制台视频分配器输出端①、后台输入端②,,,,,
,,,视频分配器检查,视频分配器.jpg,更换视频分配器,,,,,
41,控制台显示器缺色、抖动、波纹,其他,显示器线缆检查,显示器线缆通道.jpg,若颜色显示不正常和图像滚动，为显示器的电缆连接线(共6线──红、绿、蓝、水平同步、垂直同步、地线)有断线故障造成，拔插或更换相应视频线,,,,,
,,,视频分配器检查,视频分配器.jpg,检查视频分配器（特殊站配置，如有值班员台时）是否故障，若无法正常显示，则可判断为故障，可直接将视频电缆与相应操作机视频线缆对接，越过视频分配器临时恢复，或更换视频分配器,,,,,
,,,控制台地线干扰检查,控制台地线.jpg,检查控制台是否因地线引入干扰。断开控制台内设备的接地端子，如故障恢复，应为地线引入的干扰，排查干扰源,,,,,
,,,控制台电源干扰检查,,检查是否因电源引入干扰。断开引入联锁设备的其他电源，或接入联锁设备电源的其他设备，如故障恢复，应为电源引入的干扰，排查干扰源,,,,,
,控制台无语音,其他,操作机声卡检查,声卡.jpg,"用耳机判断无声音信号输出，
如果有声音输出，说明故障在从音频线缆到音响这个范围内，需进行音响问题及连接线问题排查。
如果没有声音输出，说明操作机声卡故障，需重新插拔声卡或更换声卡。",,,,,
42,,,音箱检查,音箱.jpg,音箱上的电源开关没开，打开电源开关,,,,,
,,,,,音箱音量调节过小，调节音量,,,,,
,,,,,"音箱故障，更换音箱。
更换音响后如果扔不能正常使用，排查下一步",,,,,
,,,音响线缆检查,音响连接线.jpg,相应操作机至控制台的音频线缆断线，或者接触不好，拔插操作机侧①及控制台侧②的音频线缆，如果无法正常使用，需更换备用延长线缆。,,,,,
44,控制台鼠标操作无效,其他,操作错误检查,控制台总定位.jpg,操作错误，如组合操作时 ，按下功能按钮后，未能正确按下目标设备,,,,,
,,,,,联锁关系不满足等，如办理进路时，未能正确按压始端、终端按钮,,,,,
,,,操作机死机检查,控制台时钟.jpg,检查控制台显示器时钟①是否变化，如不变，表明操作机工作异常，需重启相应的操作机,,,,,
43,控制台操作机A/B鼠标不动,其他,鼠标检查,鼠标.jpg,"启用备用鼠标，或启用另外一套操作机的鼠标。
确认是否可以正常使用。
如果可以正常使用，说明原鼠标故障，更换新的后恢复。
如果无法正常使用，排查下一步",,,,,
,,,,,鼠标故障，更换鼠标备品（删除并将内容合并到上一条）,,,,,
,,,鼠标线缆检查,鼠标连接线.jpg,"相应操作机至控制台的鼠标线缆断线，或者接触不好，拔插操作机侧①及控制台侧②的鼠标线缆，
确认鼠标是否可以正常使用。
如果无法正常使用，需更换备用延长线缆。
如果更换备用延长线缆后仍然无法正常使用，排查下一步",,,,,
,,,操作机鼠标接口检查,工控机后视图.jpg,鼠标连接的操作机串口接口①故障，更换操作机主板②,,,,,
45,控制台弹出操作系统报警窗,其他,操作机系统检查,综合柜操作机电源空开.jpg,"关闭控制台对应的操作机电源，重新启动相应的操作机
如果故障恢复，操作机可以继续使用。
如果无法恢复，切换至备用硬盘或更换新的硬盘。",,,,,
46,控制台蓝屏,其他,操作机电子盘/硬盘检查,电子盘/硬盘.jpg,"重新启动操作机，确认是否可以正常启动系统。
如果工控机主机可以正常启动：
查看是否可以正常进入操作系统：
如果可以正常进入系统，操作机可以继续使用。
如果无法正常进入系统，可能是操作系统或者硬盘故障，进行下一步",,,,,
,,,,,切换备用电子盘/硬盘，或更换电子盘/硬盘,,,,,
,,,操作机系统检查,,"重新启动操作机，确认是否可以正常启动系统。
如果工控机主机可以正常启动：
查看是否可以正常进入操作系统：
如果可以正常进入系统，操作机可以继续使用。
如果无法正常进入系统，可能是操作系统或者硬盘故障，进行下一步",,,,,
,,,,,切换备用电子盘/硬盘，或更换电子盘/硬盘,,,,,
47,申请自律控制失败,其他,模式转换条件不满足检查,CTC切换按钮.jpg,确认应没有按钮处于按下状态，包括办理进路的按钮、功能按钮、引导总锁、改方按钮等；若存在按钮按下，需先解除按下状态。,,,,,
,,,,,确认“允许自律”应为黄灯状态,,,,,
48,UPS故障灯报警,其他,UPS检查,UPS.jpg,联锁机对应的系已断电，查看UPS报警灯无红灯，工作灯正常亮绿灯，为UPS故障，更换UPS或电源输入改为直供状态,,,,,
,,,,,联锁机正常运行，为UPS输出正常，但已开始报警，需要提前更换UPS或电源输入改为直供状态,,,,,
